ma_san_pham,so_sao,ma_khach_hang
308500004,5,2431
308500018,5,2453
422217029,5,1428
308500009,5,695
223600035,5,3116
100230069,5,1492
100150066,5,3015
355500010,3,792
422205163,5,1895
100230064,5,788
308500009,5,2459
422211446,5,157
422208807,5,243
422204906,5,1083
100230057,5,409
422211548,5,1513
422208807,5,273
308500015,5,2416
318900019,5,1670
365000014,4,545
200400004,5,409
100150058,4,2305
308500015,5,712
422218631,5,1149
357100011,4,262
422217972,5,135
422207413,1,2052
422216594,5,815
204900013,5,441
223600040,3,1114
422203809,5,2659
100230069,5,2596
204100003,5,761
205100136,5,16
204900159,4,1492
422216487,5,3704
422203301,5,2638
245500001,5,2260
422205163,5,2372
200500283,5,2953
100230059,5,409
422211446,5,246
422205163,5,703
308500009,5,2319
205100137,5,350
100230056,5,709
422203617,5,189
422205164,5,2426
422206042,5,1734
422207148,5,2927
204900004,5,1478
100230064,5,815
200400003,5,749
422212871,5,1157
422205162,5,2460
211300005,5,2221
253900006,5,581
200400004,5,695
100150059,5,2285
100230057,5,684
249500013,3,1176
248700035,5,1051
100230056,5,722
205100146,5,336
243300007,1,2662
343100024,5,3463
422206648,5,368
422200306,5,257
249500013,5,1188
345800008,5,4233
205100146,5,286
205100146,5,158
422220469,4,1402
422205160,5,2349
422209663,5,1387
422206043,5,3666
249500013,5,1219
223600034,5,3323
357100011,5,3146
308500015,5,2289
422209094,5,1631
308500037,5,2094
204900010,5,1824
249500021,4,2195
211300002,5,788
205100137,5,316
223600010,5,3324
100230064,5,799
365000020,5,2795
422205162,5,2377
422211446,5,235
422211489,5,336
245500002,5,1633
422218099,5,396
422211878,5,1296
308500009,5,2397
200400004,5,809
422211447,5,333
204900056,5,1474
422205160,5,2221
223600034,5,3218
205100146,4,229
308500004,5,2453
249500007,5,847
422205163,5,2410
217300001,3,220
422216594,5,745
100230069,5,297
422204259,5,336
205100136,5,147
422203807,5,2653
422211548,5,1502
422208345,4,128
422207562,2,2655
206400011,5,2240
343100041,5,4304
422210146,5,1982
422209718,5,1641
422203809,1,2664
422202153,5,4016
422211446,5,272
248700027,5,4328
422217292,5,1166
422221873,4,824
422200632,5,1411
249500007,5,1201
308500004,4,2448
207500001,5,632
422205164,3,3567
365000017,2,3503
204900128,5,1487
204900056,5,1479
308500037,5,2399
422214146,3,723
422203301,5,2645
422208807,4,229
249500013,4,1170
100230069,5,632
205100146,5,235
200400004,5,704
318900002,5,1765
422204231,5,1474
422210784,5,1445
422201092,5,3578
422206648,5,331
422204795,5,855
100230056,5,35
422203901,4,1239
100220010,5,2461
422216594,5,674
422204281,5,3082
204900159,5,869
422215804,5,1216
422205160,5,2336
422208807,4,182
100210014,5,1727
422206537,5,2541
204100019,5,2533
232500022,5,3091
422205160,5,2382
422208157,3,2271
100230056,5,798
223600009,5,3337
422211183,5,1064
422206043,4,2171
422204259,4,365
422220606,5,1080
422203510,4,262
100150059,1,2297
422205637,5,4298
318900011,3,76
204900056,5,1461
223600010,5,1854
422202253,5,679
308500004,5,2334
422216594,5,799
365000019,5,2588
422206648,4,325
422205164,5,709
204900056,5,1442
422210784,5,1495
253900006,5,144
422206648,5,366
422215804,5,270
100230057,5,677
204900004,5,308
245500001,5,2248
422205160,5,2434
248100018,5,808
422208238,5,2277
204900004,5,1434
308500018,5,1018
100750038,5,23
205100137,5,354
422209443,5,4214
200400004,5,733
422206035,5,1509
422206043,5,3649
422217029,5,1410
422216098,5,2301
205100136,5,216
100230064,5,722
422216098,3,2291
422211447,3,3504
377400001,5,3508
308500013,5,2351
422205160,5,2443
422205122,5,3294
422210784,5,1491
308500004,2,3598
327500002,5,577
205100146,5,307
365000012,2,2247
422205805,5,138
422210047,5,3514
422211549,5,1508
100230026,5,4282
422203776,1,2679
422206537,4,2521
422205164,5,2331
204900009,5,1289
100150059,5,1806
201600074,5,3361
422219399,5,256
100750038,5,18
422211446,5,307
225200015,5,3610
422204259,2,3961
256700012,5,3116
100230056,5,767
205100136,4,367
422210980,5,1448
422212100,3,3154
345800003,2,2777
422207865,2,1185
201600074,5,1078
422206648,5,216
204100054,5,2348
422203645,5,3050
422220469,5,761
422210980,5,1472
422206103,5,3275
100220010,5,3671
225200015,5,3607
200400003,5,746
422205819,5,3527
308500013,5,2409
422204657,5,1097
422208345,3,1234
100220037,5,3675
204100054,5,2379
422205160,5,2169
422202253,5,2369
308500013,5,2358
422216594,4,792
422211446,5,16
204100070,5,2547
422206537,5,2365
308500009,5,976
245500010,3,2264
308500004,5,2412
422208807,5,278
249500028,5,1324
243300007,2,2658
204900004,5,1458
204100018,5,2537
204900128,5,914
422202569,5,1296
308500009,5,2339
422201374,5,2084
204100019,5,685
204900159,5,217
422201504,5,1102
308500037,5,780
422222535,5,1245
355500011,4,4313
422218631,4,1140
365000015,1,1279
225200013,5,3602
308500013,5,1022
422203146,2,3938
200400003,5,677
422202632,5,3102
422207562,3,633
358300001,5,2887
204000071,4,2182
201600072,5,3942
201600019,5,3360
422209705,5,2925
422208972,5,402
249500007,5,1183
422204777,5,4048
422208972,3,420
422205160,5,2456
308500018,5,2367
422208975,5,413
214000001,5,1051
100230064,5,703
422212360,5,4221
422201504,5,1094
422211447,5,331
205100136,5,282
100220035,5,650
422208972,5,377
422218746,5,3611
308500018,5,1034
204900128,5,1452
422210980,5,1479
422204027,3,835
422211447,3,1201
422214148,1,2261
422220469,1,69
204900004,5,1440
422206648,5,346
422204904,5,1080
365000012,4,4039
422211878,5,1335
100100001,5,2251
422209719,3,360
422206537,5,519
422210980,5,223
422211447,5,329
422206648,4,262
308500013,5,672
223600035,3,2268
422204906,5,139
201600072,2,3934
253900004,5,776
357100011,1,1418
422209444,1,543
237800005,5,792
223600034,5,1854
422208972,5,17
204900159,1,1464
318900012,5,99
204900004,5,1017
308500004,5,696
422211195,5,1426
204100054,5,1630
206400010,3,2244
204100003,5,2534
422205163,5,691
422205160,5,2331
308500013,5,2352
249500027,5,2038
422205164,5,654
422205809,5,4203
422205162,5,2085
100190059,4,1469
422221873,5,828
204100054,5,2505
422214321,5,837
422206537,5,176
204100078,5,2549
308100018,5,628
308500015,4,2311
253900003,5,1328
248700001,5,4287
200400003,5,701
243300007,5,806
422206101,5,3274
204900128,5,1449
422202253,5,2436
200400003,5,683
422200306,5,1000
204100019,5,2393
200400004,5,718
253900003,5,1346
224100009,5,1083
207300009,5,3663
100230059,5,732
422211501,5,2107
422202253,5,695
223600035,1,2466
253900003,5,1309
308500037,5,2331
422208973,3,420
422205162,5,2452
422204259,5,215
422206042,5,1729
422203300,5,62
422205160,5,690
422211276,3,162
201600198,5,3217
253900006,5,572
365000017,4,4039
100230057,5,679
422200236,5,1024
422206537,5,699
365000014,5,3342
422202580,5,1828
422216594,4,762
386000015,4,3506
249500019,5,1864
308500037,5,2466
422205164,5,680
200400004,5,681
422205163,5,2431
249500011,5,1814
422202362,2,2613
422218283,3,2030
422216416,5,502
245500002,5,2257
249500013,5,1225
248700035,5,2747
249500027,3,244
308500004,4,792
422207826,4,1402
100230057,5,690
204900005,5,792
422208973,4,417
422211878,5,1311
100230070,5,3292
308500018,5,2323
422219400,5,256
207500001,5,2594
100230059,5,731
422221911,5,3643
422210047,5,3499
422211389,5,256
422214342,3,2193
422211183,4,1058
345800007,5,4236
204900056,5,1443
200400003,5,791
422208976,5,375
100160021,5,3102
207500002,4,3291
365000013,5,61
308500013,5,2405
308500015,5,2451
100220037,5,3679
204900128,5,1189
224100001,5,632
422203807,4,2691
205100146,2,112
205100136,5,189
253900003,5,1204
422208975,5,409
422202253,2,3123
100230059,5,680
422200152,5,300
422204906,5,1090
249500027,5,2016
204900159,5,1440
206400010,5,2241
308500013,5,2381
422205164,5,2397
422202025,5,2084
308500018,4,792
422208807,5,139
249500013,5,1216
308500037,5,2432
205100136,4,201
100230064,5,808
249500007,5,301
422209443,5,4212
422203776,5,266
200400003,5,787
100230056,5,728
318900011,5,74
422214146,5,1573
308500015,5,2360
365000012,5,1109
422203807,5,298
308500015,5,2317
223600035,5,3123
249500027,1,2052
422211446,5,348
422222535,5,1229
248700027,5,2734
204900024,5,1288
308500018,1,4197
422203609,5,2127
422207736,5,3582
422211446,4,262
422210784,5,1468
253900003,5,88
205100136,5,156
422211447,5,342
253900004,5,552
256700012,4,3686
249500027,5,1991
204100023,5,470
204900004,5,529
100220035,5,1109
248700042,5,2747
225200013,5,734
205100136,5,255
205100137,4,111
205100137,5,220
422209444,2,1472
422211447,1,2209
418800002,5,2782
253900003,5,1298
308500015,5,2449
422207810,2,975
422202045,5,23
422211276,5,2713
422206648,5,232
422209262,3,1412
100230064,5,647
422201822,5,1083
422207413,5,2013
422206537,5,2404
308500037,5,2345
422209635,4,3240
422202253,5,2363
201600019,4,308
422204259,5,193
422205164,5,2378
308500009,5,2316
204900159,5,1437
422216594,5,682
100180148,5,1898
205100146,5,354
422204259,5,346
422200236,5,690
100210014,5,1730
422202253,5,2362
249500027,4,279
200400004,5,728
422212333,5,1246
249500027,4,1524
100230057,5,649
422216990,5,845
249500013,4,225
422216352,5,1050
204900010,1,1827
308500037,5,2438
204100019,5,2553
422208807,5,184
308500013,5,2403
422208973,5,413
422201374,5,1907
253900004,5,1323
204900004,5,1444
205100137,5,368
422209444,5,1876
308500018,5,2464
249500027,5,1983
308500004,5,2332
422212097,5,3329
308500013,5,2391
422209703,5,2928
205100136,5,214
422211489,5,342
200400004,5,75
422206101,5,1397
422205162,5,2344
205100136,5,211
422207413,1,2036
100230064,5,666
422206042,5,1306
204100054,5,1835
100190059,4,1483
422207413,5,1281
422208807,5,313
422208807,5,182
422217292,4,1213
308500009,5,2315
422205160,5,700
205100137,5,263
318900019,5,877
422215804,4,1177
293500050,5,1982
100230056,5,732
422210047,5,1291
204900024,5,1274
422202216,5,4025
422208977,5,147
422200306,4,1375
100230057,5,788
422205162,5,2321
204900159,5,1268
308500004,5,48
422208807,5,116
422203901,5,3816
100230057,5,688
365000019,5,894
422204167,5,1686
201600019,5,529
205100146,5,347
308500013,5,674
249500019,5,2033
358300003,5,3508
100230057,5,698
422205162,5,2340
100230064,5,796
422208156,3,2271
422211447,5,166
204000071,4,217
249500021,5,2218
204900004,5,1466
422203671,5,3406
422208973,5,398
422200236,5,693
422203807,4,812
422213312,5,230
422205162,5,2461
422208976,5,401
308500004,5,2094
308500015,5,2434
293500043,5,1405
422206648,4,221
200400004,5,395
422202253,5,712
100160021,5,3936
204100024,4,3392
422209719,5,2926
422207414,5,353
422215804,5,157
200400004,5,817
422204947,2,276
422213312,5,3682
200400004,5,807
422208976,5,388
335100004,5,3220
205100146,5,315
100230064,5,709
308500009,5,1031
422209706,5,2928
200400004,5,698
204900056,5,601
422205164,5,711
422205160,5,2354
422204028,5,833
422216603,4,1275
243300007,4,2661
345800003,4,77
204900159,5,1443
422211446,5,347
422209322,4,51
422200236,5,701
253900004,4,1295
253900005,5,622
100230057,5,729
422209635,4,46
204100079,5,2547
200400003,5,772
422203776,4,2689
422204259,5,137
204100079,5,2916
204100018,5,2535
205100137,4,225
225300002,5,3501
422205164,5,678
422209720,5,2929
207300009,5,3653
249500007,5,184
308500013,1,2195
100240016,5,1723
249500013,5,1199
422207826,5,1396
422203807,1,2662
100230057,5,692
422219399,5,3643
245500009,5,2251
100230057,5,680
422208807,5,302
308500004,5,2427
422204259,5,292
422216416,4,564
308500013,5,682
422206149,3,3203
100240016,5,618
422206042,5,3676
422206648,2,1701
204900009,5,1274
422203146,5,1077
422204947,5,1196
422205808,5,299
365000017,5,4040
308500013,5,1029
308500004,5,2456
205100137,5,287
422211446,5,250
422211446,5,107
422205160,5,682
207500008,4,3291
249500019,5,2029
422204231,5,121
308500013,5,2354
100220009,5,348
422200306,4,504
249500019,4,1589
422211446,4,206
422208972,5,390
211300007,5,1573
204900056,5,1439
422205151,5,3259
204900159,5,1435
100230059,5,710
308500009,5,2331
205100137,4,310
422209444,2,4216
422202253,1,2468
100230059,5,686
100230070,1,1961
223600034,5,3337
422205160,5,699
422207283,5,1779
100220035,3,1800
422205163,5,2459
245500010,5,2246
205100146,5,330
422203300,5,612
422214147,5,1963
100230056,5,651
422206648,5,285
100230059,5,298
204100054,5,2355
308500015,5,805
204100019,5,2519
422209048,5,1808
422208807,5,328
422206102,5,3050
422208807,5,131
422205160,5,1031
422210980,5,792
422204259,5,338
422208977,5,392
422206648,5,109
204900009,4,1271
204100019,5,1490
223600009,4,3321
422205162,5,2416
308500013,5,706
422203146,5,2192
204100023,2,3787
225200013,5,3599
422203146,4,2221
249500021,5,2193
318900005,5,55
200400003,5,704
422203776,3,1573
422211446,2,3228
365000017,5,2793
422204910,5,1070
422212100,5,573
204100019,5,694
204900013,5,526
422211446,5,331
308500037,5,2456
422204659,5,3402
205100136,2,769
422216594,5,801
223600010,5,3329
331300023,5,2016
200400004,5,785
308500018,5,2454
422206537,5,2532
422216602,5,1808
100230057,5,648
308500018,5,684
422207794,5,2929
249500007,5,157
200400004,5,707
308500037,5,2330
204900004,2,1465
422208973,5,391
205100136,5,248
205100137,5,77
422203671,5,3399
249500021,5,2197
100220037,5,1809
365000018,5,4035
249500021,5,70
422207150,5,1157
365000020,5,4040
422216594,5,771
422208181,5,1614
422207562,5,1102
100230059,5,652
422211446,5,319
422208345,5,4050
422205164,5,494
422204231,5,3228
204100018,5,2544
100220009,5,204
422216416,5,402
365000020,5,266
331300002,5,3968
200400004,5,812
422207794,5,2930
205100137,5,208
345800003,5,3240
422206042,5,3647
422216594,5,782
100230064,4,818
205100136,5,342
422220606,5,1062
308500018,5,2392
237800005,4,482
204900013,5,521
422205160,5,2377
207500007,1,1675
308500037,5,2379
422209718,5,2930
422205160,5,2388
245500009,5,2260
422204259,5,342
308500015,5,2419
422208181,5,1466
422208976,5,387
422205807,5,2764
205100136,5,158
204900024,5,1267
422209795,5,3401
223600010,4,2187
206400019,5,1522
100220037,5,3664
422203510,5,126
422208975,5,394
345800001,5,3199
204900013,5,437
422214149,5,3210
422215804,5,1217
204900013,3,552
100230059,5,720
204000071,5,1362
422211447,4,171
422203609,5,2128
422208181,5,1628
204100023,5,2539
205100146,5,174
308500004,5,2368
422216594,5,484
100230059,5,676
422205346,5,1079
249500021,4,2187
249500027,5,2020
422208181,5,1620
422211447,5,236
308500037,5,2365
200500293,4,2936
100230056,5,778
422216098,5,548
422205164,5,2355
308500013,5,399
204900056,5,529
422215804,5,847
422209634,4,3240
422203776,5,2683
253900006,3,620
422205164,5,2366
204100018,5,2534
422209707,5,2929
204900009,5,1268
100220037,5,1109
422207812,5,1141
100190059,5,1436
245500001,5,1377
422219813,5,449
253900003,5,1340
422205164,5,2340
100150058,5,2301
365000012,2,3166
422203300,3,660
422204884,5,1102
422205163,5,2411
422206537,5,2369
422209704,5,1157
308500018,5,2387
422211446,5,334
422210784,2,1455
422211489,5,3134
422204259,5,183
422211446,4,221
422207562,5,1106
422206035,5,1180
422210784,5,1478
225300001,4,419
422204281,5,2086
422216594,5,409
422203302,5,519
422205162,5,2320
249500013,5,1210
422202580,1,1193
422205162,2,4084
100230069,5,2593
422210784,5,1463
249500007,5,1185
205100146,5,163
422206248,1,782
200500283,5,2951
422207629,5,1408
422219308,5,1807
211300007,5,849
422206248,4,128
422205163,5,780
100230056,5,645
422216449,5,140
100230059,5,815
222600052,5,3168
308500018,5,2314
345800007,5,792
100230059,5,724
205100136,5,140
422202216,5,2478
422202580,5,2589
200400004,5,795
422207413,5,2015
205100137,5,226
422209047,4,1963
422213992,4,3779
100240016,2,72
422211183,5,1088
100230057,5,707
100230057,5,170
100230057,5,806
100220035,5,782
365000020,5,2793
422211446,4,361
100230059,5,765
422205164,5,701
293500006,5,1427
365000019,5,4035
205100137,5,145
422204910,5,162
248700001,5,2514
422220606,3,1057
200500095,5,2226
223600010,2,3325
422208910,5,1151
308500009,5,2415
422206042,5,1809
204100019,5,2372
422209635,5,2938
205100146,5,308
200400003,5,710
204100054,5,2321
308500015,5,117
422216594,5,746
422205163,5,2453
205100146,4,325
422203146,5,2197
422211183,3,1081
422202253,5,2390
422212097,4,325
422216416,5,505
204100054,5,2493
308500009,5,2327
308500013,5,788
308500037,5,704
422211447,5,183
422208807,4,262
205100136,5,114
308500015,5,2378
422211446,5,287
100230056,5,644
422200305,5,1387
204100019,5,2546
422210784,5,274
422220606,3,4216
237800005,5,2407
223600034,5,3342
308500018,5,2418
200500293,5,2950
422204259,5,172
211300002,5,1579
365000018,5,3232
249500027,5,795
243300007,2,2669
422208910,4,1145
100230056,3,804
204100054,5,1457
422214321,3,835
205100136,4,192
422208974,5,380
204900056,5,308
422205163,5,2338
100230059,5,660
422206043,5,52
100230056,5,765
205100137,5,129
422208807,5,236
422206648,4,121
422208807,5,356
422216098,5,138
224100008,5,2654
207500001,5,2592
422204259,4,261
422205162,5,1034
422208183,5,2276
308500018,5,2379
422216487,5,1287
204100054,5,176
358300001,5,2884
205100137,5,334
422208910,5,1153
422218629,5,1148
205100137,5,272
308500009,5,805
422216603,5,1281
422203809,1,2677
422205164,5,2332
224100019,5,2072
422200305,4,1371
422205160,1,1150
422203807,5,2697
422209636,3,2768
422212097,5,220
422204657,5,1110
204900004,5,107
223600010,5,117
422204659,2,2659
399200001,5,2030
204900013,5,482
422208974,5,147
200400004,3,753
422202253,5,2420
249500021,5,2219
422208976,5,399
422214148,5,54
422205162,5,2398
386000015,5,1907
422216594,5,728
253900004,5,547
200400004,5,799
422203776,3,2671
308500004,5,117
422205164,5,1085
422205163,5,2340
422200342,5,346
422205805,5,3582
100230064,5,783
100230064,5,640
204100070,5,2542
249500021,4,2194
422203807,3,2693
201600019,5,1078
422204388,5,2468
422208807,5,220
249500011,5,1812
422206042,1,4174
422211446,4,294
422203145,1,2044
100230056,5,684
343100024,5,3633
100220035,5,1787
345800001,5,3169
100230059,5,688
422205162,5,2464
422218746,3,1862
217300001,3,2659
422208345,4,4049
422203809,5,1118
318900019,5,1676
204100054,5,2551
293500043,5,1427
200400004,5,642
243300007,5,1585
249500007,5,1205
422207413,5,1998
308500013,5,2364
422211446,5,359
318900009,3,1838
422207810,5,3499
422208973,5,397
422217292,5,1211
422206537,5,2546
200400004,5,655
422208975,5,414
422203807,4,2676
308500015,5,2379
308500004,5,702
422206648,5,305
204900005,4,1270
422209703,5,2930
223600034,5,3316
308500015,5,2381
200400004,5,484
422208976,5,423
100230059,5,715
422205164,5,2424
204000059,5,548
318900005,5,1676
422211276,5,2722
100230056,5,764
422202253,5,2466
204900009,5,1055
422201119,4,262
249500027,5,117
422207562,5,1099
422203976,5,3361
422218099,5,1524
422200236,5,707
318900005,5,1693
422205162,5,701
200500283,5,1531
204900128,2,1339
422202253,5,2381
422211446,5,182
205100137,5,108
205100136,5,164
422206648,5,363
205100137,4,141
100230069,5,2578
245500009,5,2072
200500095,5,2938
204900009,4,1291
204900009,5,1269
200500095,4,2936
422213312,5,3684
422203145,5,2039
422203145,5,2014
422200236,5,692
422207413,4,2074
308500037,5,2307
422212361,5,4221
422203776,5,2698
201600019,5,3361
422218631,5,1146
422208807,5,249
345800015,5,2076
422205163,5,734
422211549,5,1261
318900011,5,31
422203776,2,2669
422205122,5,1066
204100054,5,2501
422203617,5,1043
422206648,5,152
204900010,5,1833
422218746,5,16
308500018,5,708
100230064,5,699
365000013,5,2793
422206648,5,275
204900013,5,449
205100146,1,437
422211447,5,369
422207147,5,1641
318900011,5,29
422207423,2,2744
422202253,5,1010
318900005,5,357
318900005,5,100
422200236,5,1030
422202253,5,2382
422203145,5,2082
422205162,5,2341
205100136,5,174
308500037,5,2366
422212361,5,3836
365000015,5,106
422207562,5,1094
422211276,5,2719
422207812,2,2649
308500013,5,2411
422206537,5,712
422211446,5,266
308500037,5,2446
422205164,5,257
318900019,5,1675
422200306,5,577
422208807,5,208
422208183,4,2270
422208977,5,422
422222535,4,1239
422205163,5,698
422207323,5,3311
204900159,5,1439
243300007,5,1881
422206537,5,1026
422210400,5,836
204900009,5,1287
200400003,5,35
248700054,5,2815
308500013,5,2289
245500009,4,2250
422208975,3,420
204900056,5,1497
245500010,5,140
200400003,5,782
422211447,5,270
100230056,5,808
422205163,5,1023
422203809,5,1549
222600030,5,3131
422214147,4,128
253900004,5,1157
422206537,5,2345
422211878,5,1338
422207283,5,2542
422203145,5,2038
422208807,5,226
249500007,3,508
422204775,5,1291
422202253,5,2422
308500009,2,351
204100054,5,2370
422210784,5,1472
422207413,1,2061
422205162,5,2436
207500001,5,233
293500043,5,1428
422203300,5,2166
308500013,4,2444
205100146,5,349
422207414,5,2222
418800004,5,139
308500001,5,132
422202632,4,2773
249500019,1,2061
422205163,5,2318
245500009,5,2265
422200306,5,1382
422206537,5,2329
211300002,5,29
100230057,5,727
308500018,5,348
422221911,2,2438
100230064,5,700
100230056,5,714
308500018,5,687
223600034,5,3326
422205164,5,696
422205163,5,788
422216594,5,75
205100146,5,129
422202362,5,126
226200018,5,3840
204100019,5,2382
422220080,5,3205
308500037,5,2193
205100137,5,147
422203506,5,3148
422206648,5,274
422200306,5,1395
422217992,5,2935
422211878,5,531
422208807,4,107
331300002,5,3971
308500013,5,2317
205100137,5,340
422209048,5,2185
422217292,5,1223
422205160,5,2402
422214134,5,3803
293500006,5,165
248700003,5,2159
422211447,5,121
204900056,2,74
422203807,5,2652
214000001,5,3300
422205162,5,2441
308500004,5,2424
249500028,4,2194
318900012,5,96
224100009,5,1853
205100136,5,236
422205160,4,2311
308500037,5,706
422217292,5,1164
207500007,5,2598
293500043,5,1431
308500037,5,2355
422202253,3,1443
422206043,5,117
422205162,5,48
204900013,5,502
422203506,5,3145
318900011,5,26
100230057,5,772
223600009,5,3329
422203807,5,2336
204100019,5,2390
100230057,4,748
422206537,5,2513
248700035,5,2741
308500015,5,2362
204100003,5,2537
100230056,5,693
422211446,5,231
205100137,5,125
200400004,5,813
422204259,5,301
422210784,5,1458
422217292,5,1184
318900011,5,54
422202362,4,3154
422203145,5,2026
422206102,3,2768
422209636,5,760
204100054,5,2404
100230056,5,24
422212100,3,609
365000015,5,266
249500013,5,1211
422221873,5,823
422211446,5,174
422208807,5,366
422207562,5,1116
100240016,5,1714
253900004,5,624
223600032,5,1933
422212097,5,3339
422208807,5,270
422214134,5,1068
100150058,5,138
100230057,5,674
422202253,4,808
100230064,5,765
293500043,5,1404
422203809,4,494
422201725,5,3463
422203449,5,208
205100146,5,301
422211640,3,1228
207300009,5,3665
371600006,2,2613
422220469,5,257
100230056,5,805
249500028,4,1079
204100054,5,2533
204900128,5,477
207500001,5,1492
100230057,5,640
422202253,5,2456
308500015,5,2326
422204884,5,1104
422208345,3,101
204000033,5,4283
308500013,5,2094
422206648,2,360
200400004,5,652
422208976,5,393
422219399,5,3644
308500015,5,682
100220009,5,3648
100150059,4,2286
422205162,5,653
308500004,5,2380
422211447,5,165
422203809,3,2693
422208807,5,265
100150066,5,795
422207283,2,1787
422209444,5,2154
243300007,5,266
422203182,5,48
422207812,5,3117
222600014,5,2154
207500007,5,2582
205100136,3,212
422203976,4,3364
422204259,5,298
205100146,5,340
204100054,4,2508
422209042,5,4065
365000018,4,4033
422210956,5,3279
422211183,5,1063
422212871,5,3580
201600182,5,3696
422208976,4,416
211300005,5,1287
422211447,4,177
204000059,5,2302
422205163,5,2094
422218365,5,827
422216990,4,840
422202569,5,162
422208974,5,381
422215804,5,1209
200400003,5,741
318900002,5,101
100230064,5,758
245500002,4,2258
358300001,3,1765
308500037,5,2375
422211241,5,1133
100230056,5,648
205100146,5,293
422205162,5,1263
422211447,5,281
365000012,5,106
422211183,3,1057
100220037,5,3651
422210784,5,1017
100220009,5,1738
249500028,5,2208
422211446,1,3766
100230056,4,639
422211446,5,233
422216487,5,3700
308500037,5,2392
248700035,5,2712
365000012,5,271
308500013,5,692
308500013,5,684
343700002,3,1941
422204259,5,178
204100054,5,489
204100054,5,2319
422206042,5,3670
345800008,5,3682
249500028,5,2196
365000011,5,3342
422204027,5,832
422203617,5,2133
205100136,5,271
100230057,5,781
422211878,5,1327
422218629,4,51
100230057,5,645
308500015,5,2396
100230064,5,746
422210956,5,506
422206043,5,3650
422208976,5,415
308500015,5,2325
422214147,4,1957
249500027,5,2059
422218365,5,826
422206537,3,305
422217292,5,1165
100230064,5,750
422206042,5,1713
418800004,5,23
205100146,3,362
100240016,5,208
365000015,4,2336
223600034,4,3321
422210784,5,601
100230057,5,723
308500037,5,2310
204900128,5,1486
422211195,5,1421
422211183,5,1071
422206648,5,330
422201119,3,1937
308500015,5,2425
249500021,5,1933
422211447,5,255
422208807,3,212
422209671,5,2573
422206648,3,3064
422214146,5,1287
422211878,5,1323
308500009,5,734
100230059,5,723
422217292,5,1219
422205163,5,140
422214149,5,1206
207500001,5,578
422200305,4,504
422207413,5,1974
245500009,3,2268
308500004,5,2459
422204231,4,494
331300023,5,2742
422206648,4,179
422205806,5,1377
308500004,5,976
205100136,5,321
204900013,5,506
422207413,1,2048
422204259,5,121
245500002,5,2252
422208975,5,390
223600034,5,3339
422200306,5,1398
204100054,5,2531
249500027,3,2081
422207826,5,761
249500007,5,1160
422207413,5,2024
204900024,5,1055
422205160,5,2422
204900013,5,547
422212333,5,132
200400003,5,759
422211446,4,177
245500002,5,2267
100230064,5,754
422208972,5,392
249500007,5,1198
422207147,5,2925
206400009,5,2240
422206537,5,2360
422208975,5,375
365000016,5,2938
204100054,2,1076
204900056,5,1463
422208976,5,390
100230064,5,684
422220469,2,2551
308500013,5,2359
422216603,5,1267
